Code client SAP;Code client Generix
0000200000;01004002
0000207805;01004006
0000207806;01025001
0000207807;01033551
0000207808;01034307
0000207809;01034308
0000207810;01043001
0000207811;01043002
0000207812;01049002
0000207813;01053009
0000207814;01053011
0000207815;01053014
0000207816;01053015
0000207817;01053403
0000207818;01053404
0000207819;01053405
0000207820;01091003
0000207821;01091004
0000207822;01093001
0000207823;01093002
0000207824;01098001
0000207825;01115002
0000207826;01138001
0000207827;01138033
0000207828;01143001
0000207829;01159117
0000207830;01160001
0000207831;01160003
0000207832;01160004
0000207833;01160005
0000207834;01173001
0000207835;01173002
0000207836;01173003
0000207837;01185001
0000207838;01194001
0000207839;01196002
0000207840;01202004
0000207841;01203036
0000207842;01238001
0000207843;01244001
0000207844;01244002
0000207845;01249001
0000207846;01258001
0000207847;01262001
0000207848;01265001
0000207849;01266001
0000207850;01273001
0000207851;01283003
0000207852;01283004
0000207853;01283005
0000207854;01283016
0000207855;01288001
0000207856;01289001
0000207857;01289002
0000207858;01301001
0000207859;01304046
0000207860;01306003
0000207861;01307001
0000207862;01313001
0000207863;01320206
0000207864;01333001
0000207865;01333002
0000207866;01344001
0000207867;01348002
0000207868;01350001
0000207869;01354001
0000207870;01354002
0000207871;01388001
0000207872;01390007
0000207873;01419003
0000207874;01419004
0000207875;01427001
0000207876;01443001
0000207877;01457001
0000207878;01457003
0000207879;01470002
0000207880;01590001
0000207881;01700001
0000207882;02018002
0000207883;02041411
0000207884;02059003
0000207885;02064001
0000207886;02095001
0000207887;02110003
0000207888;02141001
0000207889;02163003
0000207890;02168005
0000207891;02168007
0000900000;02168116
0000207892;02168119
0000207893;02173001
0000207894;02243003
0000207895;02243004
0000207896;02258001
0000207897;02279001
0000207898;02303002
0000207899;02305056
0000207900;02321001
0000207901;02334002
0000207902;02340001
0000207903;02360001
0000207904;02361001
0000207905;02361002
0000207680;02371001
0000207681;02381001
0000207682;02381002
0000207683;02381007
0000207684;02408004
0000207685;02408006
0000207686;02408009
0000207687;02408010
0000207688;02408011
0000207689;02433001
0000207690;02468001
0000207691;02468003
0000207692;02477001
0000207693;02558001
0000207694;02648001
0000207695;02666002
0000207696;02676001
0000207697;02691003
0000207698;02691006
0000207699;02691007
0000207700;02691012
0000207702;02691013
0000207703;02691015
0000207704;02691032
0000207705;02691033
0000207706;02722001
0000207707;02722004
0000207708;02722010
0000207709;02789002
0000207710;02795001
0000207711;02810002
0000207712;02810003
0000207713;02810006
0000207714;02810007
0000207715;02820002
0000207716;03003001
0000207717;03013002
0000207718;03023002
0000207719;03023004
0000207720;03036001
0000207721;03082001
0000207722;03084001
0000207723;03095004
0000207724;03095005
0000207725;03095006
0000207726;03098001
0000207727;03101001
0000207728;03101002
0000207729;03102001
0000207730;03118001
0000207731;03118003
0000207732;03138001
0000207733;03138002
0000207734;03159001
0000207735;03165001
0000207736;03185003
0000207737;03185004
0000207738;03185007
0000207739;03185008
0000207740;03185022
0000207741;03185023
0000207742;03186001
0000207743;03190007
0000207744;03190009
0000207745;03190011
0000207746;03237001
0000207747;03254003
0000207748;03264001
0000207749;03275001
0000207750;03298004
0000207751;03310002
0000207752;03310003
0000207753;03310101
0000207754;03321001
0000207756;03321002
0000207757;03410001
0000207758;04008002
0000207759;04019001
0000207760;04034001
0000207761;04039002
0000207762;04042001
0000207763;04049002
0000207764;04070001
0000207765;04070118
0000207766;04070119
0000207767;04088003
0000207768;04088004
0000207769;04112001
0000207770;04112002
0000207771;04112003
0000207772;04112005
0000207773;04112009
0000207774;04116002
0000207775;04143003
0000207776;04145002
0000207777;04166004
0000207778;04183001
0000207779;04191001
0000207780;04195002
0000207781;04209001
0000207782;04209002
0000207783;05006002
0000207784;05023004
0000207785;05023005
0000207786;05023007
0000207787;05038001
0000207788;05040001
0000207789;05046001
0000207790;05046002
0000207791;05054001
0000207792;05054003
0000207793;05061006
0000207794;05061009
0000207795;05061011
0000207796;05061012
0000207797;05061015
0000207798;05061016
0000207799;05065003
0000207800;05070002
0000207801;05115003
0000207802;05166002
0000207803;05170001
0000207804;05179002
0000207554;05179004
0000207555;06004002
0000207556;06004007
0000207557;06004008
0000207558;06004010
0000207559;06004012
0000207560;06004015
0000207561;06004016
0000207562;06004017
0000207563;06004018
0000207564;06004019
0000207565;06004020
0000207566;06004117
0000207567;06004118
0000207568;06004120
0000207569;06004122
0000207570;06004123
0000207571;06011001
0000207572;06027001
0000207573;06027004
0000207575;06027005
0000207576;06027009
0000207577;06029001
0000207579;06029003
0000207580;06029004
0000207581;06029012
0000207582;06029014
0000207583;06029015
0000207584;06029017
0000207585;06029018
0000207586;06029020
0000207587;06029022
0000207588;06029023
0000207589;06029024
0000207590;06029025
0000207591;06030001
0000207592;06030005
0000207593;06030007
0000207594;06030009
0000207595;06031001
0000207596;06031002
0000207597;06044003
0000207598;06044117
0000207599;06044118
0000207600;06054001
0000207601;06058001
0000207602;06064001
0000207603;06064005
0000207604;06065001
0000207605;06069001
0000207606;06069004
0000207607;06069005
0000207608;06069008
0000207609;06069009
0000207610;06069013
0000207611;06079004
0000207612;06079006
0000207613;06079007
0000207614;06083000
0000207615;06083001
0000207616;06083005
0000207617;06083006
0000207618;06083009
0000207619;06084003
0000207620;06085001
0000207621;06085002
0000207622;06085003
0000207623;06085004
0000207624;06088001
0000207625;06088004
0000207626;06088009
0000207627;06088010
0000207628;06088026
0000207629;06088030
0000207630;06088032
0000207631;06088033
0000207632;06088034
0000207633;06088036
0000207634;06088040
0000207636;06088041
0000207638;06088042
0000207639;06088044
0000207640;06088045
0000207641;06088046
0000207642;06088047
0000207643;06088051
0000207644;06088815
0000207645;06088819
0000207647;06088820
0000207648;06088821
0000207649;06088822
0000207651;06088824
0000207652;06088826
0000207653;06088827
0000207654;06088828
0000207655;06088833
0000207656;06088839
0000207657;06088840
0000207658;06088841
0000207659;06088842
0000207660;06088844
0000207661;06088845
0000207662;06089001
0000207663;06090001
0000207664;06095001
0000207665;06099001
0000207666;06104001
0000207667;06104004
0000207668;06104005
0000207669;06105001
0000207670;06108001
0000207671;06114002
0000207672;06122005
0000207673;06123003
0000207674;06123006
0000207676;06123007
0000207677;06123010
0000207678;06123021
0000207679;06126001
0000207429;06127001
0000207430;06140001
0000207431;06149002
0000207433;06152001
0000207434;06155002
0000207435;06155004
0000207436;06155005
0000207437;06157001
0000207438;06157003
0000207439;06157008
0000207440;06159001
0000207441;06161001
0000207442;06161002
0000207443;06161004
0000900001;06161116
0000207444;06163002
0000207445;06200001
0000207446;07008001
0000207447;07010001
0000207448;07010004
0000207449;07019002
0000207450;07019007
0000207451;07019008
0000207452;07042001
0000207453;07043005
0000207454;07050001
0000207455;07064001
0000207456;07064003
0000207457;07078001
0000207458;07078003
0000207459;07102002
0000207460;07110001
0000207461;07117001
0000207462;07127001
0000207463;07129001
0000207464;07181001
0000207465;07186002
0000207466;07199001
0000207467;07201002
0000207468;07245001
0000207469;07259001
0000207470;07316001
0000207471;07319001
0000207472;07319004
0000207473;07324001
0000207474;07330001
0000207475;07334002
0000900002;07337116
0000207476;07338001
