id_as400;enseigne;raison_sociale;adresse1;adresse2;adresse3;code_postal;code_postal_2;ville;langue;pays;devise;siret;forme_entreprise;contact_1;contact_2;contact_3;tel1;tel2;id_commercial_1;id_commercial_2;statut_commande_par;statut_livre;statut_facture
ASIA00001;WATSON'S(DO NOT USE);WATSON'S (DO NOT USE);O/B A.S. WATSON GROUP (HK) LTD;WATSON HOUSE, 1-5 WO LIU HANG;ROAD, FO TAN SHATIN, NT;.;;HONG KONG;A;HK;EUR;;****;;;;26068833;26015942;9;9;O;O;O
ASIA10000;DISTRIBUTOR ASIA CENTRALE;DISTRIBUTOR ASIA CENTRALE;;;;;;ASIA;A;CN;HKD;;****;;;;;;;;N;N;N
ASIA10001;DISTRIBUTOR HONK KONG S-CENTR;DISTRIBUTOR HONK KONG S-CENTR;;;;;;ASIA;A;CN;HKD;;****;;;;;;;;N;N;N
ASIA10002;DISTRIBUTOR TAIWAN S-CENTRALE;DISTRIBUTOR TAIWAN S-CENTRALE;;;;;;ASIA;A;CN;HKD;;****;;;;;;;;N;N;N
ASIA10003;DISTRIBUTOR PHILIPPINES S-CENT;DISTRIBUTOR PHILIPPINES S-CENT;;;;;;ASIA;A;CN;HKD;;****;;;;;;;;N;N;N
ASIA10004;DISTRIBUTOR THAILAND S-CENTRAL;DISTRIBUTOR THAILAND S-CENTRAL;;;;;;ASIA;A;CN;HKD;;****;;;;;;;;N;N;N
ASIA10007;DISTRIBUTOR AUSTRALIA S-CENTR;DISTRIBUTOR AUSTRALIA S-CENTR;;;;;;AUSTRALIA;A;AU;USD;;****;;;;;;;;N;N;N
ASIA11001;UNION POWER WORLDWIDE LIMITED;UNION POWER WORLDWIDE LIMITED;RM18., 15/F CHEVALIER;COMMERCIAL CENTRE, 8 WANG;HOI RD., KOWLOON BAY, KOWLOON;HONG;KONG;CHINA;A;CN;USD;;****;MICHELLE;;UNIONPOWER888@YAHOO.COM.HK;852-27586998;852-27586999;9;9;O;O;O
ASIA12001;ARISIA INTERNATIONAL LTD;ARISIA INTERNATIONAL LTD;UNIT 1 N°46, LANE 42,;CHONGNAN STREET;NANKANG DISTRICT;TAIPE;I;TAIWAN;A;TW;USD;;****;;;;;;9;9;O;O;O
ASIA12002;EXPRESS LINE TRADING CO.,LTD;EXPRESS LINE TRADING CO.,LTD;NO.42, CHENG JAU ST., SAN MIN;DIST.,;KAOHSIUNG;.;;HONG KONG;A;CN;USD;0;****;PAMELA CHEN;;;-3866369;;9;9;O;O;O
ASIA13001;ELITE FORCE INDUSTRIES, INC.;ELITE FORCE INDUSTRIES, INC.;6752 AYALA AVENUE CORNER;MAKATI AVENUE, MAKATI CENTRAL;BUSINESS DISTRICT;1226;;MAKATI CITY, METRO MANILA, PH;A;PH;EUR;;****;RIZZA TIANZON;RIZZATIANZON@YAHOO.COM;BRAND MANAGER;6328369377;;9;9;O;O;O
ASIA17001;HEAT GROUP PTY LTDTHE;HEAT GROUP PTY LTD ($);UNIT 1,BLDG B,;18-24 RICKETTS ROAD;;3149;;MT WAVERLEY 'AUSTRALIA';A;AU;USD;;****;GILLIAN FRANKLIN;;GILLIANF@HEATGROUP.COM.AU;+61(38)5457102;+61(3)95488132;9;9;O;O;O
ASIA90000;WATSONS ASIA CENTRALE;WATSONS ASIA CENTRALE;;;;;;ASIA;A;CN;HKD;;****;;;;;;;;N;N;N
ASIA90001;WATSON'S THE CHEMIST HONG KONG;WATSON'S THE CHEMIST;O/B A.S. WATSON GROUP (HK) LTD;WATSON HOUSE, 1-5 WO LIU HANG;ROAD, FO TAN SHATIN, NT;.;;HONG KONG;A;HK;HKD;;****;;;;26068833;26015942;***;***;O;O;O
ASIA90002;WATSONS TAIWAN S-CENTRALE;WATSONS TAIWAN S-CENTRALE;;;;;;ASIA;A;CN;HKD;;****;;;;;;;;N;N;N
ASIA90003;WATSONS MALAYSIA S-CENTRALE;WATSONS MALAYSIA S-CENTRALE;;;;;;ASIA;A;CN;HKD;;****;;;;;;;;N;N;N
ASIA90004;WATSONS SINGAPORE S-CENTRALE;WATSONS SINGAPORE S-CENTRALE;;;;;;ASIA;A;CN;HKD;;****;;;;;;;;N;N;N
ASIA90005;WATSONS THAILAND S-CENTRALE;WATSONS THAILAND S-CENTRALE;;;;;;ASIA;A;CN;HKD;;****;;;;;;;;N;N;N
ASIA90944;UNION POWER WORLDWIDE LTD;UNION POWER;RM 04,2/F;SHUN FAT INDUSTRIAL BUILDING,;17 WONG HOI ROAD,KOWLOON BAY;KOWLO;ON;HONG KONG;A;CN;USD;;****;MICHELLE YEN;;UNIONPOWER888@YAHOO,COM,HK;8627509980;8627509980;9;9;N;O;N
ASIA92001;WATSON'S PERSONAL CARE STORES;WATSON'S PERSONAL CARE STORES;(TAIWAN) CO. LIMITED;11F-1..NO.760 PA THE ROAD,;SEC.4;TAIPE;I;TAIWAN, R.O.C.;A;TW;EUR;;****;KAREN LIN / OLIVIA WANG;;;886227421234;886227421100;9;9;O;O;O
ASIA93001;WATSON'S PERSONAL CARE SDN BHD;WATSON'S PCS SDN BHD MALAYSIA;LOT 14,JLN PELUKIS U1/46;TEMASYA INDUSTRIAL PARK;GLENMARIE, SEKSYEN U1;40450;;SELANGOR;A;MY;USD;;****;AUDREY CHAN/ LOH HOONG EE;;;60321477188;60321432399;9;9;O;O;O
ASIA99000;WATSONS HONK KONG S-CENTRALE;WATSONS HONK KONG S-CENTRALE;;;;;;ASIA;A;CN;HKD;;****;;;;;;;;N;N;N
AS0100000;WATSONS ASIA CENTRALE;WATSONS ASIA CENTRALE;;;;;;ASIA;A;CN;HKD;;****;;;;;;;;N;N;N
AS0101000;WATSONS HONK KONG S-CENTRALE;WATSONS HONK KONG S-CENTRALE;;;;;;ASIA;A;CN;HKD;;****;;;;;;;;N;N;N
AS0101001;WATSON'S THE CHEMIST HONG KONG;WATSON'S THE CHEMIST;O/B A.S. WATSON GROUP (HK) LTD;WATSON HOUSE, 1-5 WO LIU HANG;ROAD, FO TAN SHATIN, NT;.;;HONG KONG;A;HK;HKD;;****;;;;26068833;26015942;***;***;O;O;O
AS0101002;FORTRESS ACCOUNT DEPARTMENT;FORTRESS ACCOUNT DEPARTMENT;16/F, ROOM 1606-1610,;CCT TELECOM BUILDING,;11 WO SHING STREET, FOTAN, N.T;.;;HONG KONG;A;HK;HKD;;****;;;;;;***;***;O;O;O
AS0101003;FEILUOSHI(HONG KONG)TRADING CO;FEILUOSHI(HONG KONG)TRADING CO;FLAT/RM 801 8/F;TOWER 1 ENTERPRISE SQUARE;9 SHEUNG YUET ROAD, KOWLOON BA;.;;HONG KONG;A;CN;HKD;0;****;;;;;;***;***;O;O;O
AS0102000;WATSONS TAIWAN S-CENTRALE;WATSONS TAIWAN S-CENTRALE;;;;;;ASIA;A;CN;HKD;;****;;;;;;;;N;N;N
AS0102001;WATSON'S PERSONAL CARE STORES;WATSON'S PERSONAL CARE STORES;(TAIWAN) CO. LIMITED;11F-1..NO.760 PA THE ROAD,;SEC.4;TAIPE;I;TAIWAN, R.O.C.;A;TW;USD;;****;KAREN LIN / OLIVIA WANG;;;886227421234;886227421100;9;9;O;O;O
AS0103000;WATSONS MALAYSIA S-CENTRALE;WATSONS MALAYSIA S-CENTRALE;;;;;;ASIA;A;MY;HKD;;****;;;;;;;;N;N;N
AS0103001;WATSON'S PERSONAL CARE SDN BHD;WATSON'S PCS SDN BHD MALAYSIA;LOT 14,JLN PELUKIS U1/46;TEMASYA INDUSTRIAL PARK;GLENMARIE, SEKSYEN U1;40450;;SELANGOR;A;MY;USD;;****;AUDREY CHAN/ LOH HOONG EE;;;60321477188;60321432399;9;9;O;O;O
AS0104000;WATSONS SINGAPORE S-CENTRALE;WATSONS SINGAPORE S-CENTRALE;;;;;;ASIA;A;CN;HKD;;****;;;;;;;;N;N;N
AS0105000;WATSONS THAILAND S-CENTRALE;WATSONS THAILAND S-CENTRALE;;;;;;ASIA;A;CN;HKD;;****;;;;;;;;N;N;N
AS0180000;CENTRAL GROUP ABC;CENTRAL GROUP ABC;1, AVENUE DES MARRONNIERS;ZAC DES PETITS CARREAUX;;94380;;BONNEUIL SUR MARNE;F;FR;EUR;;****;;;;143777309;143777308;***;***;N;N;N
AS0180100;ABC DISTRIBUTION;ABC DISTRIBUTION;1, AVENUE DES MARRONNIERS;ZAC DES PETITS CARREAUX;;94380;;BONNEUIL SUR MARNE;F;FR;EUR;;****;;;;143777309;143777308;***;***;N;N;N
AS0180101;ABC DISTRIBUTION;ABC DISTRIBUTION;1, AVENUE DES MARRONNIERS;ZAC DES PETITS CARREAUX;;94380;;BONNEUIL SUR MARNE;F;FR;USD;;****;;;;143777309;143777308;***;***;O;O;O
AS0200000;DISTRIBUTOR ASIA CENTRALE;DISTRIBUTOR ASIA CENTRALE;;;;;;ASIA;A;CN;HKD;;****;;;;;;;;N;N;N
AS0201000;DISTRIBUTOR HONK KONG S-CENTR;DISTRIBUTOR HONK KONG S-CENTR;;;;;;ASIA;A;CN;HKD;;****;;;;;;;;N;N;N
AS0201001;UNION POWER WORLDWIDE LIMITED;UNION POWER WORLDWIDE LIMITED;ROOM 14, 15/F.,;CHEVALIER COMMERCIAL CENTRE,;8 WANG HOI ROAD, KOWLOON BAY,;51800;0;HK;A;HK;USD;....;****;MICHELLE;;UNIONPOWER888@YAHOO.COM.HK;852-27586998;852-27586999;9;9;O;O;O
AS0201002;BUY TOGETHER HK LTD-HKMALL.COM;BUY TOGETHER HK LTD-HKMALL.COM;RM A, 8F YUENG YIU CHUNG(NO 6);INDL BULD, 19 CHEUNG SHUN ST,;CHEUNG SHA WAN,;KOWLO;ON;HONG KONG;A;CN;HKD;;****;MS CARMEN CHU;;CARMEN.CHU@BEECRAZY.COM;852-35865625;852-21521733;9;9;O;O;O
AS0201003;HONGKONG EVERSKY HOLDINGS LTD;HONGKONG EVERSKY HOLDINGS LTD;NO. 3. 7/F .. APEC PLAZA.;49 HOI YUEN RD.;KWUN TONG KLN.;HONG;KONG;HONG KONG;A;CN;USD;;****;TONY CHAN;;;852-34833072;;9;9;O;O;O
AS0202000;DISTRIBUTOR TAIWAN S-CENTRALE;DISTRIBUTOR TAIWAN S-CENTRALE;;;;;;ASIA;A;CN;HKD;;****;;;;;;;;N;N;N
AS0202001;ARISIA INTERNATIONAL LTD;ARISIA INTERNATIONAL LTD;5F, NO.3, LANE 166,;CHONGYANG RD.,;NANKANG DISTRICT;11552;;TAIPEI;A;TW;USD;111;****;;;;;;9;9;O;O;O
AS0203000;DISTRIBUTOR MALAY S-CENTRALE;DISTRIBUTOR MALAY S-CENTRALE;-;;;;;ASIA;A;CN;HKD;;****;;;;;;;;N;N;N
AS0203001;SOJO CORPORATION SDN.BHD.;SOJO CORPORATION SDN.BHD.;NO. 13/15,JALAN JASA MERDEKA 8;TAMAN TAMBY CHIK KARIM,;BATU BERENDAM;;;75350 MELAKA, MALAYSIA;A;MY;USD;*;****;ANDY;;SOJO6888@GMAIL.COM;6063175001;;9;9;O;O;O
AS0204000;DISTRIBUTOR SINGAPO S-CENTRALE;DISTRIBUTOR SINGAPO S-CENTRALE;;;;;;ASIA;A;SG;HKD;;****;;;;;;;;N;N;N
AS0204001;SUZANNI BEAUTE PTE LTD D;SUZANNI BEAUTE PTE LTD;2 JURONG EAST STREET 21;#03-149/150, IMM BUILDING;;60960;1;SINGAPORE;A;SG;USD;201111124E;****;SUSAN LIM;;SLIM@SUZANNIBEAUTE.COM.SG;6568993909;6568993929;9;9;O;O;O
AS0204002;FAMEX INTERNATIONAL;FAMEX INTERNATIONAL;UNIT 16,8/F, MACTECH BUILDING;NO.2, KALLANG PUDDING ROAD;;34930;7;SINGAPOUR;A;SG;USD;-;****;MR DESMOND LAM;;DESMOND@FAMEXINTERNATIONAL.COM;6568422820;;9;9;O;O;O
AS0205000;DISTRIBUTOR THAILAND S-CENTRAL;DISTRIBUTOR THAILAND S-CENTRAL;-;;;;;ASIA;A;CN;HKD;;****;;;;;;;;N;N;N
AS0206000;DISTRIBUTOR PHILIPPINES S-CENT;DISTRIBUTOR PHILIPPINES S-CENT;;;;;;ASIA;A;CN;HKD;;****;;;;;;;;N;N;N
AS0207000;DISTRIBUTOR AUSTRALIA S-CENTR;DISTRIBUTOR AUSTRALIA S-CENTR;;;;;;AUSTRALIA;A;AU;USD;;****;;;;;;;;N;N;N
AS0207001;HEAT GROUP PTY LTDTHE;HEAT GROUP PTY LTD ($);UNIT 1,BLDG B,;18-24 RICKETTS ROAD;;3149;;MT WAVERLEY 'AUSTRALIA';A;AU;USD;;****;GILLIAN FRANKLIN;;GILLIANF@HEATGROUP.COM.AU;+61(38)5457102;+61(3)95488132;9;9;O;O;O
AS0207002;INTERTRADING AUSTRALIA;INTERTRADING AUSTRALIA;157 HARTLEY ROAD,;SMEATON GRANGE NSW 2567;PO BOX 256, NARELLAN;2567;;NSW;A;AU;USD;;****;HAROLD NEUMANN;;;61(02)46485400;;9;9;O;O;O
AS0207003;TARGET;TARGET;12-14 THOMPSON ROAD;NORTH GEELONG 3215;;;;VICTORIA;A;AU;USD;;****;ROGER DRINKWATER;;;85266914416;;9;9;O;O;O
AS0208000;DISTRIBUTOR CHINA S-CENTRALE;DISTRIBUTOR CHINA S-CENTRALE;;;;;;ASIA;A;CN;HKD;;****;;;;;;;;N;N;N
AS0208001;BEIJING RENHEXINGYU BS CO LTD;BEIJING RENHEXINGYU BUSINESS;CO. LTD;1527,BLD 5,BLOCK C,SHOUCHENG;INTL CTR, 36 GUANGQU RD;10002;2;CHAO YANG DISTRICT, BEIJING;A;CN;USD;;****;MS SHERRY REN/ MR KAVIN SIM;;;861087642133;861087642135;9;9;O;O;O
AS0211003;DAILINH GROUP;DAILINH GROUP;A: R. 1015, EUROWINDOW BUILDIN;27 TRAN DUY HUNG, CAU GIAY,;HA NOI;;;VIETNAM;A;VN;USD;;****;;NGUYEN THI LAN HUONG;HUONGNTL@DAILINHGROUP.VN;936052390;;9;9;O;O;O
AS0212000;DISTRIBUTOR KOREA S-CENTR;DISTRIBUTOR KOREA  S-CENTR;-;;;;;21990;A;KR;USD;;****;;;;;;;;N;N;N
AS0212001;C'S AWESOME TECHNOLOGY, INC.;C'S AWESOME TECHNOLOGY, INC;30, SONGDOMIRAE-RO,;BUILDING E, SUITE 2307,;YEONSU-GU, INCHEON 21990;INCHE;ON;KOREA;A;KR;USD;406-87-00039;****;MR NAM, IL HO;;;82328374972;82328374974;9;9;O;O;O
AS0212002;MY FACTORY;MY FACTORY;#311 STX-V-TOWER,128,GASAN;DIGITAL 1-RO, GEUMCHEON-GU;;8512;;SEOUL;A;KR;USD;0;****;MS NICOLE;;;+82 2 62642006;+82 2 62642007;9;9;O;O;O
AS0213000;DISTRIBUTOR MYANMAR S-CENTR;MYANMAR;-;;;;;MYANMAR;A;MM;USD;;****;;;;;;;;N;N;N
AS0213001;BEAUTY DIARY COMPANY LIMITED;BEAUTY DIARY COMPANY LIMITED;NO.28/B INNYA MYAING ROAD,;SHWE TAUNG KYAR WARD (1),;BAHAN TOWNSHIP, YANGON;;;MYANMAR;A;MM;USD;;****;MICHELLE AYE;;;-2305928;-2305938;9;9;O;O;O
AS0214000;DISTRIBUTOR BRUNEI S-CENTR;BRUNEI;-;;;;;BRUNEI;A;BN;USD;;****;;;;;;;;N;N;N
AS0214001;M.S. TITANSTAR ENTERPRISE;M.S. TITANSTAR ENTERPRISE;UNIT 16, G/F, BGN HJ MUNCHIT &;HJH DYG RAPIAH COMPLEX;KG JAYA SETIA, MUKIM BERAKAS;;;BANDAR SERI BEGAWAN BB2713;A;BN;USD;;****;JULIAN WEE;;;673-2454977;673-2421876;9;9;O;O;O
AS0215000;DISTRIBUTOR JAPAN S-CENTR;JAPAN;-;;;;;JAPAN;A;JP;EUR;;****;;;;;;;;N;N;N
AS0215001;MAKE UP INC;MAKE UP INC;2-2-5, HIGASHIOBASE,;HIGASHINARI-KU,;537-0024;537-0;24;OSAKA;A;JP;EUR;.....;****;JULIAN WEE;;;673-2454977;673-2421876;9;9;O;O;O
AS0215002;CHEUNG FAT HONG;CHEUNG FAT HONG;RM. 18, BLOCK A, 8/F.,;6 WANG KWUN RD.,PROFICIENT IND;PROFICIENT IND. CENTER, KLN.;.;;BAY, HONG KONG;A;CN;HKD;;****;SAENING15@MY-FACTORY.CO.KR;MR. RICKY CHOI;;85227596172;85227966604;9;9;O;O;O
AS030000;AUCHAN ASIA CENTRALE;AUCHAN;-;;;;;ASIA;A;CN;USD;;****;;;;;;;;N;N;N
AS0300000;AUCHAN ASIA CENTRALE;AUCHAN;-;;;;;ASIA;A;CN;USD;;****;;;;;;;;N;N;N
AS0302000;AUCHAN TAIWAN S-CENTRALE;AUCHAN;-;;;;;ASIA;A;CN;USD;;****;;;;;;;;N;N;N
AS0302001;RT-MART  INTERNATIONAL  LTD;RT-MART  INTERNATIONAL  LTD;2F., NO. 36, LANE 128,;SINHU 1ST RD., NEIHU DISTRICT,;TAIPEI CITY 114,;TAIPE;I;TAIWAN, R.O.C.;A;TW;USD;;****;;;;;;9;9;O;O;O
AS0401001;LANE CRAWFORD;LANE CRAWFORD;30/F ONE ISLAND SOUTH;2 HEUNG YIP ROAD;WONG CHUK HANG, HONG KONG;.;;HONG KONG;A;HK;USD;;****;MS LULU MA;;;85221183694;85225790578;9;9;O;O;O
BIDON;ARTICLE BIDON;RAISON SOCIALE BIDON;ESSAI;ADRESSE 2;ADRESSE 3;94000;;VILLE;F;FR;EUR;;****;;;;;;***;***;O;O;O
